"Entity";"Code";"Year";"waste";"Waste.total.or.missmanaged";"totalPop";"gdp";"wasteYear"
"246";"Norway";"NOR";2010;0.28;"total";4883111;"623.504.107.068.751";102.2
"247";"Oman";"OMN";2010;0.084;"total";2782435;"453.358.525.168.436";30.66
"248";"Pakistan";"PAK";2010;0.103;"total";173593383;"428.360.731.163.635";37.595
"249";"Palau";"PLW";2010;0.144;"total";20472;"118.465.739.334.318";52.56
"250";"Palestine";"PSE";2010;0.063;"total";NA;"417.274.568.921.544";22.995
"251";"Panama";"PAN";2010;0.145;"total";3516820;"156.285.922.438.738";52.925
"252";"Papua New Guinea";"PNG";2010;0.103;"total";6858266;"319.158.041.028.301";37.595
"253";"Peru";"PER";2010;0.144;"total";29076512;"995.655.663.668.307";52.56
"254";"Philippines";"PHL";2010;0.075;"total";93260798;"559.683.728.794.962";27.375
"255";"Poland";"POL";2010;0.097;"total";38276660;"217.706.444.359.772";35.405
"256";"Portugal";"PRT";2010;0.265;"total";10675572;"272.384.606.724.422";96.725
"257";"Puerto Rico";"PRI";2010;0.252;"total";3749009;"339.240.540.101.397";91.98
"258";"Qatar";"QAT";2010;0.16;"total";1758793;"125.140.838.348.001";58.4
"259";"Romania";"ROU";2010;0.042;"total";21486371;"175.532.832.966.444";15.33
"260";"Russia";"RUS";2010;0.112;"total";142958164;"231.077.852.212.759";40.88
"261";"Saint Kitts and Nevis";"KNA";2010;0.654;"total";52402;"21.412.201.453.108";238.71
"262";"Saint Lucia";"LCA";2010;0.522;"total";174267;"121.238.351.390.475";190.53
"263";"Saint Vincent and the Grenadines";"VCT";2010;0.221;"total";109333;"991.557.761.891.195";80.665
"264";"Samoa";"WSM";2010;0.103;"total";183081;"539.989.309.631.838";37.595
"265";"Sao Tome and Principe";"STP";2010;0.103;"total";165397;"264.151.394.847.294";37.595
"266";"Saudi Arabia";"SAU";2010;0.156;"total";27448086;"454.212.284.797.446";56.94
"267";"Senegal";"SEN";2010;0.103;"total";12433728;"218.399.505.141.766";37.595
