Entity;Code;Year;Per capita mismanaged plastic waste (kilograms per person per day);Waste total or missmanaged;Total population (Gapminder);GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)
Sri Lanka;LKA;2010;0.357;total;20859949;852.957.144.219.453
Sudan;SDN;2010;0.103;total;34136520;336.609.626.107.549
Suriname;SUR;2010;0.163;total;524636;142.118.775.163.255
Sweden;SWE;2010;0.048;total;9379687;429.425.625.032.962
Tanzania;TZA;2010;0.023;total;44841226;209.058.322.467.574
Thailand;THA;2010;0.144;total;69122234;134.865.624.149.548
Togo;TGO;2010;0.057;total;6027798;12.082.812.098.328
Tonga;TON;2010;0.223;total;104058;498.419.362.951.029
Trinidad and Tobago;TTO;2010;3.600;total;1341465;312.609.070.471.763
Tunisia;TUN;2010;0.144;total;10480934;104.363.655.998.628
Turkey;TUR;2010;0.212;total;72752325;179.592.591.065.745
Tuvalu;TUV;2010;0.144;total;9827;298.644.985.588.888
Ukraine;UKR;2010;0.103;total;45448329;782.449.845.171.438
United Arab Emirates;ARE;2010;0.199;total;7511690;572.326.180.757.649
United Kingdom;GBR;2010;0.215;total;62035570;363.669.831.782.522
United States;USA;2010;0.335;total;310383948;493.741.788.851.797
Uruguay;URY;2010;0.252;total;3368786;170.824.046.586.765
Vanuatu;VUT;2010;0.295;total;239651;294.803.293.729.183
Venezuela;VEN;2010;0.252;total;28979857;165.449.720.552.598
Vietnam;VNM;2010;0.103;total;87848445;440.816.861.192.198
Yemen;YEM;2010;0.103;total;NA;44.787.435.991.429
